Date,Predicted Sales
2017-12-31,2049.589086999999
2018-01-01,2494.126646499999
2018-01-02,1338.4797619999988
2018-01-03,1185.7249265
2018-01-04,1111.7396884999994
2018-01-05,2017.0798339999985
2018-01-06,1389.9704099999997
2018-01-07,2035.1374170000004
2018-01-08,2242.3059584999996
2018-01-09,1844.8316179999988
2018-01-10,1039.617248
2018-01-11,1522.1636944999998
2018-01-12,1501.6491395000014
2018-01-13,1594.507849999999
2018-01-14,1457.7470620000004
2018-01-15,1785.5962855000012
2018-01-16,1662.1578209999998
2018-01-17,1804.7734124999995
2018-01-18,1555.6210539999995
2018-01-19,1353.2366134999997
2018-01-20,1638.3860390000011
2018-01-21,2039.9775149999996
2018-01-22,1566.4074574999997
2018-01-23,1977.424955999998
2018-01-24,1874.5862619999994
2018-01-25,1602.9237160000005
2018-01-26,1620.5216970000004
2018-01-27,1460.2605109999993
2018-01-28,1749.0083485000007
2018-01-29,1465.865311
